Pagetype,Variation,Platform,URL
Product Detail 3000,Standard,Windows,/Avast-Free-Antivirus-2015/3000-2239_4-10019223.html
Product Detail 3000,Publisher Hosted,Windows,/Google-Chrome/3000-2356_4-10881381.html
Product Detail 3000,DLM Product,Windows,/Replace-It/3000-2250_4-10965495.html
Product Detail 3000,Offsite Popup (Download),Mac,/Adobe-Photoshop-CS6/3000-2192_4-10021273.html
Product Detail 3000,"Offsite Popup (Web Page, pop up)",Windows,/Microsoft-FrontPage-2003-SP3/3000-10248_4-15268.html
Product Detail 3000,"Offsite Popup (Web Page, main window)",Windows,/McAfee-AntiVirus-Plus/3000-2239_4-10581368.html
Product Detail 3000,Archived Product,Windows,/AVG-Anti-Virus-Free-Edition-2011/3000-2239_4-11657127.html
Product Detail 3000,iOS Product,iOS,/Temple-Run/3000-2095_4-75532762.html
Product Detail 3000,Android Product,Android,/Skype/3000-10440_4-75312694.html
Post-download 3001,DRE Unit,Mac,/MacTubes/3001-2139_4-204278.html
No jscript 3640,P2P,,/uTorrent/3640-2196_4-10528327.html?tag=mncol;1
No jscript 3640,Off site,,/Microsoft-FrontPage-2003-SP3/3640-10248_4-15268.html?cachenet=http://ipublisher.cnet.com/preview/cbsidev/~dev/dluat
No jscript 3640,Standard,,/Avast-Free-Antivirus/3640-2239_4-10019223-3.htm
Avast-only HL 3000BP,Avast 3000 BP,Windows,/Avast-Free-Antivirus-2014/3000-2239_4-10019223.html?part=dl-
Avast-only HL 3001BP,Avast 3001 BP,Windows,/Avast-Free-Antivirus-2014/3001-2239_4-10019223.html?part=dl-
Button Partner 3000BP,Standard,Windows,/WinRAR-32-bit/3000-2250_4-10007677.html?part=dl-x
Button Partner 3000BP,VIP Product,Windows,/AVG-AntiVirus-Free-2013/3000-2239_4-10320142.html?part=dl-x
Button Partner 3000BP,DLM Product,Windows,/KMPlayer/3000-13632_4-10659939.html?part=dl-x
Optimized SEM 3011,Standard,Windows,/3011-18488_4-47883.html
Optimized SEM Post DL 3012,DRE Unit,Windows,/3012-18488_4-47883.html
SEM Landing 3028,DLM Product,,/3028-18488_4-47883.html
Optimized SEM Avast 3014,Standard,Windows,/VLC-Media-Player/3014-13632_4-10267151.html
Optimized SEM Avast Post DL 3016,DRE Unit,Windows,/VLC-Media-Player/3016-13632_4-10267151.html
Redirect 3055,DRE Unit,Windows,/FormatFactory/3055-2194_4-10968547.html
Category Listing 3150,Standard,Windows,/windows/document-management-software/3150-10743_4-0-2.html
Category Listing 3150,DLM Product,Windows,/windows/operating-systems-and-updates/
Category Listing 3150,"Offsite Popup (Web Page, main window)",Windows,/windows/web-development-software/
Category Listing 3150 PPD,"Offsite Popup (Web Page, main window)",Windows,/windows/collaboration-software/
Category Listing 3150 PPD,Standard,Windows,/windows/document-management-software/?tag=bc
